"filename", "language", "Python", "CSS", "HTML", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\urlify.js", "JavaScript", 0, 0, 0, 159, 0, 0, 5, 6, 170
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\jquery\jquery.js", "JavaScript", 0, 0, 0, 6913, 0, 0, 1962, 2091, 10966
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\jquery\jquery.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 5, 22
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\af.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\ar.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\az.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\bg.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\bn.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\bs.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\ca.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\cs.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\da.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\de.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\dsb.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\el.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\en.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\es.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\et.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\eu.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\fa.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\fi.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\fr.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\gl.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\he.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\hi.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\hr.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\hsb.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\hu.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\hy.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\id.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\is.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\it.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\ja.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\ka.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\km.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\ko.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\lt.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\lv.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\mk.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\ms.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\nb.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\ne.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\nl.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\pl.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\ps.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\pt-BR.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\pt.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\asert\admin\js\vendor\select2\i18n\ro.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
